,RNA.IC_1d,RNA.IC_3d,RNA.IC_7d,RNA.Uninjured,Minimum,,14856
Dera,0.116977916,0.282135234,0.133959464,0.063313653,0.063313653,,
Derl1,0.132023302,0.190162827,0.140586817,0.097011323,0.097011323,,
Derl2,0.082537604,0.130241732,0.093371068,0.100618638,0.082537604,,
Derl3,0.005275927,0.00549402,0.019692546,0.004180966,0.004180966,,
Des,0.000700413,0.001108439,0,0.0018558,0,,
Desi1,0.947974171,0.601431735,1.100548941,0.742666128,0.601431735,,
Desi2,1.136433866,1.30015112,1.015897256,1.012867825,1.012867825,,
Det1,0.066331842,0.108850155,0.223137878,0.100527704,0.066331842,,
Deup1,0,0,0,0,0,,
Dexi,1.070925346,0.661937678,0.879300296,0.641367678,0.641367678,,
Dffa,0.300874478,0.372622421,0.164984259,0.216213548,0.164984259,,
Dffb,0.123775636,0.235444758,0.190706682,0.168126892,0.123775636,,
Dgat1,0.298716939,0.424579166,0.24793976,0.294774656,0.24793976,,
Dgat2,0.202872871,0.167338686,0.297579759,0.146050397,0.146050397,,
Dgat2l6,0.003630722,0.002590732,0.005414771,0.002349231,0.002349231,,
Dgcr2,0.319978182,0.422029945,0.262197851,0.223621952,0.223621952,,
Dgcr6,0.050399557,0.043568352,0.111090112,0.055514907,0.043568352,,
Dgcr8,0.320234836,0.442771854,0.315258629,0.238450194,0.238450194,,
Dgka,0.051804485,0.096434887,0.045266281,0.030651879,0.030651879,,
Dgkb,4.293186592,3.763591611,6.187452511,3.096030801,3.096030801,,
Dgkd,1.446444164,1.516571861,1.630595172,1.055786089,1.055786089,,
Dgke,0.250744696,0.276905987,0.193673485,0.290345348,0.193673485,,
Dgkg,2.161747887,5.037141223,3.714109807,1.427261031,1.427261031,,
Dgkh,3.606263926,4.145722025,1.970247402,2.723020795,1.970247402,,
Dgki,11.00791077,7.400364741,5.869600354,6.722214689,5.869600354,,
Dgkk,0.003754681,0.000514005,0,0.001891617,0,,
Dgkq,0.13838682,0.190219709,0.134018714,0.133446328,0.133446328,,
Dgkz,1.092038585,1.149166654,0.995208398,1.731947405,0.995208398,,
Dglucy,0.044922298,0.093246753,0.036424268,0.061353024,0.036424268,,
Dguok,0.198336625,0.279033292,0.434091442,0.239372872,0.198336625,,
Dhcr24,0.076531673,0.047256349,0.069084863,0.120429903,0.047256349,,
Dhcr7,0.072249028,0.106731826,0.094878655,0.091657869,0.072249028,,
Dhdds,0.709986045,0.867383449,0.720717194,0.612378455,0.612378455,,
Dhdh,0.039270622,0.098492321,0.082149336,0.035600458,0.035600458,,
Dhfr,0.057974936,0.054791389,0.093130893,0.050059637,0.050059637,,
Dhodh,0.025138713,0.049376898,0.100074729,0.050418139,0.025138713,,
Dhps,0.818217744,0.792289166,1.079774324,0.472332881,0.472332881,,
Dhrs1,0.055481515,0.086377657,0.143784994,0.122776393,0.055481515,,
Dhrs11,0.01402727,0.022272532,0.017189654,0.026286885,0.01402727,,
Dhrs13,0.017194296,0.029965172,0.026615923,0.04548939,0.017194296,,
Dhrs13os,0.002876164,0.003669126,0.005845091,0.008587704,0.002876164,,
Dhrs2,0.002324318,0.000815752,0,0,0,,
Dhrs3,0.017335066,0.01095023,0.044244015,0.018667332,0.01095023,,
Dhrs4,0.023382743,0.030313858,0.06903556,0.030348555,0.023382743,,
Dhrs7,0.042662169,0.076074693,0.093267131,0.066509116,0.042662169,,
Dhrs7b,0.1082603,0.167052728,0.173240781,0.125801667,0.1082603,,
Dhrs9,0.008122518,0.043734716,0.039363053,0.001007275,0.001007275,,
Dhtkd1,0.120581977,0.19084839,0.201987056,0.160677363,0.120581977,,
Dhx15,0.454572964,0.387166411,0.393225219,0.446044759,0.387166411,,
Dhx16,0.220199999,0.142402733,0.297077703,0.27020746,0.142402733,,
Dhx29,0.137344039,0.142207681,0.166783182,0.175069107,0.137344039,,
Dhx30,0.691991404,1.162199324,1.382853264,1.02028854,0.691991404,,
Dhx32,0.523527215,0.612586346,0.625033138,0.387035541,0.387035541,,
Dhx33,0.073391968,0.109370253,0.132937094,0.0715339,0.0715339,,
Dhx34,0.057115541,0.058043401,0.092560969,0.079062905,0.057115541,,
Dhx35,0.265657864,0.38255378,0.30926325,0.330084258,0.265657864,,
Dhx36,0.899800138,0.888091964,1.072419174,0.780583283,0.780583283,,
Dhx37,0.082356538,0.072955414,0.068889436,0.069087388,0.068889436,,
Dhx38,0.092196887,0.094152972,0.070200463,0.045647266,0.045647266,,
Dhx40,0.215387245,0.346291789,0.359136603,0.197734607,0.197734607,,
Dhx57,0.601745425,0.912587454,0.655406628,0.60864613,0.601745425,,
Dhx58,0.007337447,0.015694214,0.044974565,0.012272258,0.007337447,,
Dhx58os,0.002841877,0.023571699,0.024428853,0.005316494,0.002841877,,
Dhx8,0.299673229,0.293584581,0.347662341,0.203529083,0.203529083,,
Dhx9,0.41735028,0.541408804,0.49960276,0.360882996,0.360882996,,
Diablo,0.135977492,0.12103258,0.135787612,0.087534665,0.087534665,,
Diaph1,0.376160711,0.431503781,0.381176643,0.355308673,0.355308673,,
Diaph2,3.460394234,2.999874587,2.634659221,4.360327087,2.634659221,,
Diaph3,0.177320061,0.18272983,0.351323679,0.270086143,0.177320061,,
Dicer1,0.505542405,0.480446279,0.374295175,0.405214466,0.374295175,,
Dido1,0.481288528,0.62938345,0.631186187,0.480267393,0.480267393,,
Dimt1,0.152426927,0.129045348,0.185283391,0.200586335,0.129045348,,
Dio2,0.002347798,0.009508509,0.015650129,0.002342576,0.002342576,,
Dip2a,0.91781129,0.626872035,0.566908237,0.741385717,0.566908237,,
Dip2b,3.105093062,2.490580137,2.166952498,2.724979088,2.166952498,,
Dip2c,8.05421835,6.578048238,4.96878561,5.275615061,4.96878561,,
Dipk1a,0.71017984,0.909261087,0.938382859,0.57971117,0.57971117,,
Dipk1b,0.166188592,0.210135608,0.697352584,0.698746215,0.166188592,,
Dipk1c,0.000166906,0.002655183,0,0.000424286,0,,
Dipk2a,0.317149592,0.122553334,0.242554825,0.238974988,0.122553334,,
Diras1,0.023159552,0.020732212,0.054777879,0.027632065,0.020732212,,
Diras2,0.331044477,0.326588114,0.482187363,0.643508155,0.326588114,,
Dis3,0.153885837,0.125871805,0.116994785,0.102817722,0.102817722,,
Dis3l,0.057819023,0.094940346,0.150657341,0.085098279,0.057819023,,
Dis3l2,1.531448192,2.155488551,1.520173895,1.184122594,1.184122594,,
Disc1,0.111244518,0.072264752,0.101395518,0.090433287,0.072264752,,
Disp1,0.353514888,0.23123762,0.332827092,0.375536151,0.23123762,,
Disp2,0.468626983,0.831584602,0.738870966,0.531901137,0.468626983,,
Disp3,0.042751788,0.17859122,0.066900652,0.032108414,0.032108414,,
Dixdc1,0.485035591,0.578694159,0.539937249,0.399735616,0.399735616,,
Dkc1,0.080692408,0.075005286,0.120236374,0.116989043,0.075005286,,
Dkk2,0.061484615,0.083019056,0.240245794,0.016213328,0.016213328,,
Dkk3,0.29299411,0.276660394,0.41322851,0.674243512,0.276660394,,
Dkk4,0,0,0,0.001279814,0,,
Dkkl1,0.019373912,0.045610019,0.008965053,0.022356109,0.008965053,,
Dlat,0.56104744,0.677513139,0.856222013,0.622014518,0.56104744,,
Dlc1,1.169298338,1.171857655,1.56737335,1.403730457,1.169298338,,
Dld,0.189589742,0.216050773,0.184304983,0.229219242,0.184304983,,
Dlec1,0.029872064,0.022107881,0.067060502,0.049319412,0.022107881,,
Dleu2,1.763145987,0.750024592,1.663440631,1.011433207,0.750024592,,
Dleu7,0.004510373,0.012285715,0.013289454,0.005421117,0.004510373,,
Dlg1,3.396717556,2.366097422,2.84679365,2.880077682,2.366097422,,
Dlg2,80.75730414,42.1304911,36.25403483,52.69485272,36.25403483,,
Dlg3,0.24546183,0.253788663,0.269897474,0.238312558,0.238312558,,
Dlg4,1.111373201,0.877257128,0.783366839,0.839242595,0.783366839,,
Dlg5,0.177174311,0.395680674,0.19284867,0.129185356,0.129185356,,
Dlgap1,33.86750251,24.61669962,23.34383482,29.70526541,23.34383482,,
Dlgap2,25.11488019,12.60440785,11.53271402,14.64327317,11.53271402,,
Dlgap3,1.310923334,0.880868485,0.77996907,1.045238794,0.77996907,,
Dlgap4,3.218740469,2.235740214,1.364606715,1.754540487,1.364606715,,
Dlgap5,0,0,0.004847882,0.00036466,0,,
Dlk2,0.053143714,0.032744897,0.148340964,0.093399948,0.032744897,,
Dll1,0,0.004441595,0,0,0,,
Dll3,0,0,0,0.001238743,0,,
Dll4,0.000647595,0.003800097,0.00152207,0.00094681,0.000647595,,
Dlst,0.554093316,0.526297809,0.505801332,0.522291725,0.505801332,,
Dlx1,0.001477309,0.002461903,0,0,0,,
Dlx1as,0.035708359,0.007131622,0.159857709,0.059185563,0.007131622,,
Dlx5,0,0.004164836,0,0,0,,
Dlx6,0.000781138,0,0,0.000413262,0,,
Dlx6os1,0.004073616,0.000944163,0,0.001663388,0,,
Dmac1,0.009771218,0.010733357,0.03554031,0.016538662,0.009771218,,
Dmac2,0.092089244,0.119641374,0.291598137,0.180725383,0.092089244,,
Dmac2l,0.125718464,0.256134455,0.174769303,0.16027577,0.125718464,,
Dmap1,0.038474186,0.042015118,0.089626984,0.063544223,0.038474186,,
Dmbt1,0,0,0,0,0,,
Dmbx1,0.007753224,0.00206193,0,0.000754617,0,,
Dmc1,0.114056462,0.139629001,0.080071431,0.067659519,0.067659519,,
Dmd,9.93813702,6.897727052,8.321282865,11.59966209,6.897727052,,
Dmgdh,0.012905756,0.007227749,0.067674878,0.044640618,0.007227749,,
Dmkn,0.059735795,0.030252823,0.003173394,0.002472825,0.002472825,,
Dmp1,0.001315941,0,0,0.00171627,0,,
Dmpk,0.063537798,0.069062871,0.070989938,0.041374933,0.041374933,,
Dmrt1,0.005455837,0,0,0,0,,
Dmrta1,0,0.001079347,0,0,0,,
Dmrta2,0.006588616,0.0194399,0.003159358,0.005281431,0.003159358,,
Dmrtb1,0,0,0,0,0,,
Dmrtc1a,0.006928452,0.006111302,0.008559438,0.00999867,0.006111302,,
Dmtf1,0.526143286,0.379119182,0.572885516,0.389906684,0.379119182,,
Dmtn,0.681485844,0.9360651,0.815061269,0.518912655,0.518912655,,
Dmwd,0.120687649,0.066797649,0.093748212,0.122546375,0.066797649,,
Dmxl1,1.853797094,1.436443642,1.365562566,1.480202973,1.365562566,,
Dmxl2,2.239927276,1.741053708,1.140136609,1.450790444,1.140136609,,
Dna2,0.068397125,0.081531379,0.074135954,0.057406758,0.057406758,,
Dnaaf1,0.010062827,0.007904681,0.030952463,0.009355334,0.007904681,,
Dnaaf2,0.008329317,0.024189522,0.009667365,0.014382636,0.008329317,,
Dnaaf3,0.003557228,0.00428166,0,0.00286881,0,,
Dnaaf4,0.008009861,0.019244758,0.050997894,0.012776076,0.008009861,,
Dnaaf5,0.243147727,0.21230414,0.130376209,0.118328786,0.118328786,,
Dnah1,0.018816787,0.009056008,0.076891773,0.055227036,0.009056008,,
Dnah10,0.065513503,0.050487237,0.0442043,0.026869301,0.026869301,,
Dnah11,0.009330598,0.024356915,0.005966528,0.008604349,0.005966528,,
Dnah12,0.048968626,0.020883937,0.088923347,0.052763272,0.020883937,,
Dnah14,0.079459501,1.384267987,0.07459827,0.036078524,0.036078524,,
Dnah17,0.042099445,0.033796195,0.182731028,0.085334149,0.033796195,,
Dnah2,0.073880075,0.103437548,0.197295809,0.098237898,0.073880075,,
Dnah2os,0,0,0.007916462,0.000178093,0,,
Dnah3,0.048988341,0.024462714,0.108867207,0.098057232,0.024462714,,
Dnah5,0.076693206,0.102248875,0.069878604,0.116885559,0.069878604,,
Dnah6,0.068833131,0.04614549,0.083390144,0.045121357,0.045121357,,
Dnah7a,0.017039133,0.031995072,0.065580499,0.017166219,0.017039133,,
Dnah7b,0.004100921,0.030374867,0.017955392,0.004417413,0.004100921,,
Dnah7c,0.007664053,0.039129549,0.011321747,0.024757603,0.007664053,,
Dnah8,0.197588805,0.182412737,0.061675139,0.05929351,0.05929351,,
Dnah9,0.416420565,0.299098232,0.362672283,0.478174425,0.299098232,,
Dnaic1,0.096190097,0.13430903,0.125126008,0.155726246,0.096190097,,
Dnaic2,0.029139071,0.037025189,0.046507851,0.011105428,0.011105428,,
Dnaja1,0.606660482,0.426850247,0.647417556,0.476779807,0.426850247,,
Dnaja2,0.821076145,0.653930094,1.335288583,1.202728279,0.653930094,,
Dnaja3,0.224611832,0.322624475,0.432759015,0.341354069,0.224611832,,
Dnaja4,0.084795026,0.068997342,0.114114608,0.079745128,0.068997342,,
Dnajb1,0.051935089,0.01714805,0.040631714,0.025163312,0.01714805,,
Dnajb11,0.085307314,0.077217028,0.113250756,0.133289189,0.077217028,,
Dnajb12,0.196927264,0.194536048,0.274166153,0.154235157,0.154235157,,
Dnajb13,0.000785112,0,0,0.000431322,0,,
Dnajb14,0.1688604,0.343238678,0.250637893,0.269834462,0.1688604,,
Dnajb2,0.286882975,0.22485661,0.339395998,0.156270275,0.156270275,,
Dnajb3,0.00200646,0.002034137,0.020879561,0.004334684,0.00200646,,
Dnajb4,0.501908149,0.561531509,0.6519539,0.503536457,0.501908149,,
Dnajb5,0.330011408,0.192796528,0.09638588,0.114380297,0.09638588,,
Dnajb6,0.655312025,0.845184652,0.738995699,0.659372522,0.655312025,,
Dnajb7,0.000235143,0.000567672,0.009019076,0.004068857,0.000235143,,
Dnajb8,0.001391634,0.000330872,0.009729613,0.003661306,0.000330872,,
Dnajb9,0.031923428,0.019000513,0.134097562,0.045786895,0.019000513,,
Dnajc1,3.40741199,2.515863136,2.04516107,1.770762127,1.770762127,,
Dnajc10,0.498124912,0.633313487,0.427548485,0.371311413,0.371311413,,
Dnajc11,0.555674029,0.596125189,0.542701591,0.460557186,0.460557186,,
Dnajc12,0.059013043,0.085848834,0.094965779,0.058729422,0.058729422,,
Dnajc13,1.127857733,1.018894165,0.747398128,0.759274338,0.747398128,,
Dnajc14,0.067578985,0.119508143,0.125478022,0.070768812,0.067578985,,
Dnajc15,0.288712162,0.338194288,0.512373917,0.431629876,0.288712162,,
Dnajc16,0.101057649,0.181753325,0.225313164,0.140995101,0.101057649,,
Dnajc17,0.108803624,0.159572238,0.092947336,0.084101188,0.084101188,,
Dnajc18,0.668073767,0.605048212,0.721305695,0.597200145,0.597200145,,
Dnajc19,0.297195556,0.26936067,1.024820545,0.78718759,0.26936067,,
Dnajc2,0.307520837,0.288992356,0.21995981,0.186706108,0.186706108,,
Dnajc21,0.237804805,0.326542361,0.357450745,0.3110526,0.237804805,,
Dnajc24,0.250550277,0.350092599,0.381409335,0.363650445,0.250550277,,
Dnajc25,0.184522243,0.223437202,0.339625588,0.267812158,0.184522243,,
Dnajc27,0.247867631,0.292228098,0.312228469,0.237180571,0.237180571,,
Dnajc28,0.007202306,0.014896025,0.010175535,0.017054766,0.007202306,,
Dnajc3,0.256230027,0.346418361,0.520120181,0.447722969,0.256230027,,
Dnajc30,0.035019622,0.029759602,0.073416758,0.060760737,0.029759602,,
Dnajc4,0.027587671,0.056660335,0.074185269,0.044122532,0.027587671,,
Dnajc5,0.698296614,0.876140874,0.534415343,0.447375556,0.447375556,,
Dnajc5b,0.008374135,0.020657557,0.035778771,0.020140734,0.008374135,,
Dnajc5g,0,0.000477781,0.002068851,0.001652416,0,,
Dnajc6,3.168907341,3.341863481,3.346685765,3.088378129,3.088378129,,
Dnajc7,0.804710511,0.836797399,0.552656265,0.595757302,0.552656265,,
Dnajc8,0.408948856,0.448916912,0.575394778,0.450950962,0.408948856,,
Dnajc9,0.019367638,0.014950236,0.085672914,0.031414993,0.014950236,,
Dnal1,0.384755716,0.468222013,0.500879312,0.452825102,0.384755716,,
Dnal4,0.041264102,0.065869921,0.102115684,0.059694659,0.041264102,,
Dnali1,0.004648653,0.001186671,0,0.00252222,0,,
Dnase1,0.000553713,0.001156007,0.004029658,0.00399192,0.000553713,,
Dnase1l1,0.012240948,0.027133887,0.010682739,0.006191608,0.006191608,,
Dnase1l2,0.020184495,0.021037189,0.019789751,0.013990966,0.013990966,,
Dnase1l3,0.978773457,0.528058915,0.443775112,0.714335163,0.443775112,,
Dnase2a,0.036057897,0.094648535,0.100773104,0.062882722,0.036057897,,
Dnase2b,0.001729725,0.000668485,0.004325278,0.003563838,0.000668485,,
Dnd1,0.008232149,0.009204643,0.006282986,0.004206371,0.004206371,,
Dner,1.750453413,1.677431534,0.805045904,0.949455536,0.805045904,,
Dnhd1,0.309778827,0.219226265,0.213594258,0.140927864,0.140927864,,
Dnlz,0.045302525,0.034142085,0.14299857,0.053722775,0.034142085,,
Dnm1,2.073721506,1.827829116,1.435017858,1.098896649,1.098896649,,
Dnm1l,1.182602464,1.123778594,1.704660619,1.553576874,1.123778594,,
Dnm2,1.543602594,1.596413123,1.201092564,1.099483302,1.099483302,,
Dnm3,1.776951925,2.576382189,1.729656617,1.594830063,1.594830063,,
Dnm3os,0.005379548,0.010671438,0.019702505,0.030330337,0.005379548,,
Dnmbp,0.365148125,0.494835782,0.368996553,0.298278442,0.298278442,,
Dnmt1,0.160722632,0.454407474,0.111580438,0.102140839,0.102140839,,
Dnmt3a,1.979430855,1.977961542,1.170569564,1.365081393,1.170569564,,
Dnmt3aos,0.045581349,0.015804823,0.088085958,0.097726895,0.015804823,,
Dnmt3b,0.007208627,0.013083904,0.023570082,0.007302262,0.007208627,,
Dnmt3l,0.00755954,0.014247061,0.035502237,0.002558585,0.002558585,,
Dnpep,0.029578453,0.044000828,0.027543215,0.03495831,0.027543215,,
Dnph1,0.002705043,0.003919106,0.002697163,0.002714459,0.002697163,,
Dntt,0.002040504,0.000310511,0,0.002702922,0,,
Dnttip1,0.690715026,1.133759637,0.738817155,0.429955309,0.429955309,,
Dnttip2,0.090702662,0.093420875,0.186929356,0.12237321,0.090702662,,
Doc2a,0.062757567,0.044930157,0.120137845,0.054245684,0.044930157,,
Doc2b,0.033012223,0.132913922,0.0643066,0.068492877,0.033012223,,
Doc2g,0.154779828,0.043580132,0.274250406,0.173037047,0.043580132,,
Dock1,0.090833347,0.172077694,0.182317133,0.193060977,0.090833347,,
Dock10,0.036135328,0.107189965,0.180837836,0.07872842,0.036135328,,
Dock11,0.031799525,0.177158291,0.052186116,0.017361262,0.017361262,,
Dock2,0.013465433,0.009999755,0.052515296,0.00595114,0.00595114,,
Dock3,6.173666319,6.028138007,5.692821257,7.036616711,5.692821257,,
Dock4,2.766632109,2.544239519,1.815525561,2.116780959,1.815525561,,
Dock5,0.010401176,0.117779935,0.057421063,0.00417606,0.00417606,,
Dock6,0.086676765,0.114560066,0.087075918,0.039372824,0.039372824,,
Dock7,0.866453909,1.183489687,1.227527383,0.966056001,0.866453909,,
Dock8,0.0195663,0.261257278,0.127665511,0.006602018,0.006602018,,
Dock9,3.652186174,3.592459403,2.712577224,2.616254518,2.616254518,,
Dohh,0.03528357,0.02102873,0.075106817,0.041484542,0.02102873,,
Dok1,0,0.000920794,0,0,0,,
Dok2,0.007825419,0.016325432,0.01271085,0.009122624,0.007825419,,
Dok3,0.139899342,0.088282373,0.100237715,0.072305066,0.072305066,,
Dok4,0.009932391,0.01396821,0.02376305,0.015469572,0.009932391,,
Dok5,1.488778333,2.575309152,0.702006032,0.571837203,0.571837203,,
Dok6,3.238527622,5.242688434,3.754237409,5.29799108,3.238527622,,
Dok7,0.035634358,0.063959559,0.022354511,0.052642433,0.022354511,,
Dolk,0.034750906,0.040623675,0.083031572,0.05048615,0.034750906,,
Dolpp1,0.034758628,0.021866702,0.005111292,0.030381301,0.005111292,,
Donson,0.159808657,0.163827229,0.217420003,0.123467494,0.123467494,,
Dop1a,0.780294696,0.866640143,0.960829339,0.775149007,0.775149007,,
Dop1b,1.739429093,2.178419965,1.108041197,1.070556209,1.070556209,,
Dot1l,1.640047328,1.197132899,0.743223601,0.601151132,0.601151132,,
Dpagt1,0.048193705,0.096150353,0.166583411,0.115098543,0.048193705,,
Dpep1,0,0,0,0,0,,
Dpep2,0.00498116,0.00451527,0,0.001536915,0,,
Dpep2.1,0.001472362,0.000258094,0,0.002086244,0,,
Dpep2nb,0.002032529,0.001404393,0,0.000867955,0,,
Dpf1,0.132620009,0.147576623,0.184592271,0.189014388,0.132620009,,
Dpf2,0.188035134,0.258992901,0.235743875,0.206156724,0.188035134,,
Dpf3,0.009031089,0.035628916,0.013101742,0.003779214,0.003779214,,
Dph1,0.078273101,0.141595672,0.127454755,0.099263364,0.078273101,,
Dph2,0.004228359,0.006323479,0.021587058,0.006828464,0.004228359,,
Dph3,0.077322358,0.053918565,0.103660954,0.078849801,0.053918565,,
Dph5,0.122768439,0.209141436,0.261730576,0.137970941,0.122768439,,
Dph6,0.556230504,0.775042209,0.897759715,0.663859073,0.556230504,,
Dph7,0.126921048,0.212515713,0.223444346,0.187565327,0.126921048,,
Dpm1,1.264144409,1.113309566,1.996370266,1.499007372,1.113309566,,
Dpm2,0.087999888,0.078313259,0.17729828,0.165962636,0.078313259,,
Dpm3,0.058251478,0.128028745,0.077275634,0.035118645,0.035118645,,
Dpp10,104.8408693,77.46930697,102.9873322,136.2272041,77.46930697,,
Dpp3,0.108713064,0.146329516,0.096268907,0.152222025,0.096268907,,
Dpp4,0.017152377,0.012506912,0.047858771,0.022377865,0.012506912,,
Dpp6,7.085947329,7.61395795,4.888952224,6.090841652,4.888952224,,
Dpp7,0.068224801,0.040023628,0.059807575,0.054231845,0.040023628,,
Dpp8,0.428791006,0.563739845,0.455889431,0.371972771,0.371972771,,
Dpp9,0.176882031,0.269607748,0.128745153,0.122456896,0.122456896,,
Dppa1,0.012955238,0.058583993,0.007806076,0.029259799,0.007806076,,
Dppa2,0.004321112,0.001578922,0.019536832,0.00335549,0.001578922,,
Dpt,0.02474601,0.010346539,0.02908842,0.018854209,0.010346539,,
Dpy19l1,0.756872901,0.332520328,0.855677526,0.69906853,0.332520328,,
Dpy19l2,0.005706789,0.007458604,0.002048341,0.005376264,0.002048341,,
Dpy19l3,0.159211853,0.298359134,0.166778838,0.15009585,0.15009585,,
Dpy19l4,0.352942575,0.414770244,0.436907452,0.340966044,0.340966044,,
Dpy30,0.078923556,0.136216891,0.265723074,0.155619419,0.078923556,,
Dpyd,1.436972573,1.74102365,2.088118655,1.625250257,1.436972573,,
Dpys,0.004571005,0.004970981,0.017997163,0.021610307,0.004571005,,
Dpysl2,1.815592286,2.080848402,1.20185301,1.350574528,1.20185301,,
Dpysl3,0.221599152,0.551630967,0.47496391,0.296551358,0.221599152,,
Dpysl4,0.081250236,0.13048427,0.125219378,0.150789459,0.081250236,,
Dpysl5,0.22703609,0.328288578,0.134525705,0.177272915,0.134525705,,
Dqx1,0.031705433,0.012100548,0.025922625,0.024551134,0.012100548,,
Dr1,0.086906093,0.075438697,0.073952854,0.083603686,0.073952854,,
Dram1,0.178935327,0.263293134,0.487157002,0.201410654,0.178935327,,
Dram2,0.19311748,0.262052804,0.175775734,0.121776359,0.121776359,,
Drap1,0.052624901,0.078354403,0.112444063,0.093552476,0.052624901,,
Draxin,0.004259596,0.006851033,0.005161024,0.002558669,0.002558669,,
Drc1,0.068198836,0.076185403,0.055721595,0.086853329,0.055721595,,
Drc3,0.207242955,0.228017794,0.199176711,0.145474664,0.145474664,,
Drc7,0.00469559,0.00625858,0.015904769,0.002208614,0.002208614,,
Drd1,0,0.000581742,0,0,0,,
Drd2,0.005578614,0.076667509,0.015133953,0.004749359,0.004749359,,
Drd3,0.001594729,0.000607138,0,0.002157205,0,,
Drg1,0.853472928,0.769126543,1.973358385,1.609492472,0.769126543,,
Drg2,0.150744685,0.17894311,0.067921666,0.067942207,0.067921666,,
Drosha,0.497883489,0.487642365,0.402126531,0.400042852,0.400042852,,
Drp2,0.203516842,0.306151717,0.321077323,0.3461208,0.203516842,,
Drr1,0,0.001221714,0,0,0,,
Dsc2,0.011747828,0.048223282,0.016039661,0.010157396,0.010157396,,
Dsc3,0.002266579,0,0,0.000419264,0,,
Dscam,8.328581645,5.416238046,6.360323748,6.337797418,5.416238046,,
Dscaml1,3.701790381,4.750833127,4.644482414,7.644452705,3.701790381,,
Dscc1,0.000459395,0.001122815,0,0.00026778,0,,
Dse,0.152433558,0.166698054,0.074309647,0.09188133,0.074309647,,
Dsel,0.20656824,0.12796516,0.248557735,0.298175261,0.12796516,,
Dsg1b,0,0,0,0.0008933,0,,
Dsg1c,0.001923469,0,0,0.001444888,0,,
Dsg2,0.060718844,0.174938697,0.096699515,0.095467268,0.060718844,,
Dsg3,0.003185851,0.00094231,0,0.000570348,0,,
Dsn1,0.003915453,0.006221581,0.003252995,0.008214358,0.003252995,,
Dsp,0.001578377,0.013260847,0.004996594,0.001928278,0.001578377,,
Dspp,0.004405568,0.000371013,0.00152207,0.003117096,0.000371013,,
Dst,7.621996035,12.90187041,6.132420645,6.246118522,6.132420645,,
Dstn,1.015302488,0.494929682,0.502617275,0.488135685,0.488135685,,
Dstyk,0.308580182,0.382332976,0.562888917,0.389884367,0.308580182,,
Dtd1,0.607684665,0.878580477,0.759970795,0.933814774,0.607684665,,
Dtd2,0.025932599,0.051660414,0.057674827,0.040499589,0.025932599,,
Dthd1,0.000691601,0.00213512,0.010888502,0.002366377,0.000691601,,
Dtl,0.02337801,0.048916364,0.116930843,0.042954195,0.02337801,,
Dtna,6.586379273,5.14447195,4.231725706,2.792529619,2.792529619,,
Dtnb,1.780553838,2.469584686,1.690851417,2.063408049,1.690851417,,
Dtnbos,0.138634153,0.331539951,0.530296917,0.630521184,0.138634153,,
Dtnbp1,1.135964046,1.880809658,0.926272229,0.973896986,0.926272229,,
Dtwd1,0.044984556,0.071337298,0.159473501,0.106532688,0.044984556,,
Dtwd2,0.064976151,0.102823263,0.106159019,0.087099809,0.064976151,,
Dtx1,0.264379738,0.259203687,0.147939369,0.188317346,0.147939369,,
Dtx2,0.104286468,0.204420008,0.133996308,0.07740921,0.07740921,,
Dtx3,0.416372319,0.423763824,0.43465637,0.323739233,0.323739233,,
Dtx3l,0.013330872,0.019506029,0.047172489,0.010394522,0.010394522,,
Dtx4,0.312523171,0.134367528,0.245090903,0.185289598,0.134367528,,
Dtymk,0.080788397,0.077960675,0.224288099,0.161794226,0.077960675,,
Dubr,0.040820349,0.031497186,0.04928535,0.026960044,0.026960044,,
Duox1,0.024756682,0.022216997,0.067970074,0.046766524,0.022216997,,
Duox2,0,0,0,0,0,,
Duoxa1,0.001437004,0,0,0.00020016,0,,
Dupd1,0.00129504,0.001385048,0.006692657,0.001380596,0.00129504,,
Dus1l,0.107481998,0.091937119,0.094856018,0.102959324,0.091937119,,
Dus2,0.2188445,0.315257971,0.299723423,0.262115893,0.2188445,,
Dus3l,0.145284466,0.135285248,0.099086074,0.116673903,0.099086074,,
Dus4l,0.132331235,0.152655076,0.192210147,0.186054651,0.132331235,,
Dusp1,0.094635382,0.11481821,0.102142643,0.060721264,0.060721264,,
Dusp10,0.005362839,0.012901315,0.011948575,0.004485695,0.004485695,,
Dusp11,1.01030089,0.760753246,0.83500823,0.638824993,0.638824993,,
Dusp12,0.158806319,0.207905374,0.3809295,0.270331972,0.158806319,,
Dusp13,0.045908917,0.013747543,0.009856867,0.01753228,0.009856867,,
Dusp14,0.36393265,0.168187701,0.204959427,0.13156619,0.13156619,,
Dusp15,0.112486341,0.047523923,0.121148721,0.134173667,0.047523923,,
Dusp16,0.706342994,0.421415435,1.116207008,0.167520485,0.167520485,,
Dusp18,0.004095642,0.028112854,0.02151113,0.005876014,0.004095642,,
Dusp19,0.024797519,0.013952179,0.061395668,0.030771549,0.013952179,,
Dusp2,0,0.000651105,0,0.001893681,0,,
Dusp22,0.155731467,0.305023113,0.15404346,0.179725405,0.15404346,,
Dusp23,0.033024129,0.039350335,0.157382217,0.067429973,0.033024129,,
